image,id,label,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/mosquito3.jpeg,10,"[{""x"": 20.200000000000003, ""y"": 48.199999999999996, ""width"": 52.80284869402153, ""height"": 23.599999999999998, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 500, ""original_height"": 500}, {""x"": 13.4, ""y"": 33.3857976309691, ""width"": 51.20284818132618, ""height"": 22.414202369030903, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 500, ""original_height"": 500}]",yrodriguezmd@gmail.com,10,2021-09-03T01:30:54.971339Z,2021-09-03T01:30:54.971377Z,43.285
/data/upload/mosquito2.jpeg,9,"[{""x"": 4.186046511627908, ""y"": 8.849557522123893, ""width"": 86.05313253991265, ""height"": 82.32078258797037, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 215, ""original_height"": 113}]",yrodriguezmd@gmail.com,9,2021-09-03T01:30:10.178016Z,2021-09-03T01:30:10.178093Z,16.463
/data/upload/mosquito.jpeg,8,"[{""x"": 0, ""y"": 7.1532127340160905, ""width"": 98.9897220507505, ""height"": 88.7780881785872, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 196, ""original_height"": 196}]",yrodriguezmd@gmail.com,8,2021-09-03T01:29:51.255724Z,2021-09-03T01:29:51.255765Z,24.357
/data/upload/mix5.jpeg,7,"[{""x"": 7.251908396946565, ""y"": 14.0625, ""width"": 7.251908396946565, ""height"": 61.458333333333336, ""rotation"": 0, ""rectanglelabels"": [""scalpel""], ""original_width"": 262, ""original_height"": 192}, {""x"": 16.412213740458014, ""y"": 2.6041666666666674, ""width"": 60.69580093144687, ""height"": 31.783228604752, ""rotation"": 0, ""rectanglelabels"": [""heavy needle holder""], ""original_width"": 262, ""original_height"": 192}, {""x"": 16.412213740458014, ""y"": 25.520833333333332, ""width"": 59.541984732824424, ""height"": 23.971622934335027, ""rotation"": 0, ""rectanglelabels"": [""metz scissors""], ""original_width"": 262, ""original_height"": 192}, {""x"": 11.83206106870229, ""y"": 47.916666666666664, ""width"": 19.472436870281562, ""height"": 40.498548295906964, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 262, ""original_height"": 192}, {""x"": 27.099236641221374, ""y"": 47.395833333333336, ""width"": 17.564620344864448, ""height"": 41.66666666666668, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 262, ""original_height"": 192}, {""x"": 37.786259541984734, ""y"": 47.395833333333336, ""width"": 18.3206106870229, ""height"": 41.66666666666668, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 262, ""original_height"": 192}, {""x"": 50, ""y"": 48.02456524380896, ""width"": 19.855791189192384, ""height"": 38.43376808952437, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 262, ""original_height"": 192}, {""x"": 61.4503816793893, ""y"": 47.916666666666664, ""width"": 19.474592720259007, ""height"": 40.73530401533112, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 262, ""original_height"": 192}, {""x"": 78.62595419847328, ""y"": 5.208333333333335, ""width"": 6.106870229007633, ""height"": 79.6875, ""rotation"": 0, ""rectanglelabels"": [""heavy forceps""], ""original_width"": 262, ""original_height"": 192}, {""x"": 85.87786259541986, ""y"": 5.208333333333335, ""width"": 6.488549618320611, ""height"": 80.20833333333336, ""rotation"": 0, ""rectanglelabels"": [""heavy forceps""], ""original_width"": 262, ""original_height"": 192}]",yrodriguezmd@gmail.com,7,2021-09-03T01:29:23.633681Z,2021-09-03T01:29:23.633728Z,188.194
/data/upload/mix4.jpeg,6,"[{""x"": 74.31506849315068, ""y"": 6.988769942315304, ""width"": 18.8441183405512, ""height"": 53.476346336754474, ""rotation"": 0, ""rectanglelabels"": [""mayo scissors""], ""original_width"": 292, ""original_height"": 172}, {""x"": 53.86476803538182, ""y"": 16.811346648065605, ""width"": 25.46738515050164, ""height"": 44.545737551609406, ""rotation"": 0, ""rectanglelabels"": [""fine scissors""], ""original_width"": 292, ""original_height"": 172}, {""x"": 46.40278905338189, ""y"": 29.916540717261633, ""width"": 29.3271698816036, ""height"": 36.24546372073741, ""rotation"": 0, ""rectanglelabels"": [""fine forceps""], ""original_width"": 292, ""original_height"": 172}, {""x"": 29.673332441361428, ""y"": 40.39015952335191, ""width"": 43.22633101077569, ""height"": 36.255307252808684, ""rotation"": 0, ""rectanglelabels"": [""fine needle holder""], ""original_width"": 292, ""original_height"": 172}, {""x"": 28.90143367331187, ""y"": 77.9558995684308, ""width"": 46.056626493624094, ""height"": 8.73621861513461, ""rotation"": 0, ""rectanglelabels"": [""scalpel""], ""original_width"": 292, ""original_height"": 172}]",yrodriguezmd@gmail.com,6,2021-09-03T01:26:12.942246Z,2021-09-03T01:26:12.942293Z,127.327
/data/upload/mix3.jpeg,5,"[{""x"": 1.800122222411534, ""y"": 16.823383778404935, ""width"": 21.524939099203998, ""height"": 41.14121799150657, ""rotation"": 0, ""rectanglelabels"": [""fine scissors""], ""original_width"": 223, ""original_height"": 226}, {""x"": 20.183246690677308, ""y"": 43.01875627480835, ""width"": 11.118111403476256, ""height"": 35.57109898073841, ""rotation"": 0, ""rectanglelabels"": [""metz scissors""], ""original_width"": 223, ""original_height"": 226}, {""x"": 12.439189265359769, ""y"": 42.02143574263811, ""width"": 18.53042277824035, ""height"": 36.90912975181807, ""rotation"": 0, ""rectanglelabels"": [""fine scissors""], ""original_width"": 223, ""original_height"": 226}, {""x"": 10.075872687517071, ""y"": 78.92229543293683, ""width"": 3.369124667720079, ""height"": 0.997320532170229, ""rotation"": 0, ""rectanglelabels"": [""metz scissors""], ""original_width"": 223, ""original_height"": 226}, {""x"": 36.02330335619442, ""y"": 4.660883669041996, ""width"": 19.878089889385095, ""height"": 59.16763038985311, ""rotation"": 0, ""rectanglelabels"": [""metz scissors""], ""original_width"": 223, ""original_height"": 226}, {""x"": 50.505368700158016, ""y"": 30.252056142497146, ""width"": 22.236222806952515, ""height"": 59.83923193021413, ""rotation"": 0, ""rectanglelabels"": [""mayo scissors""], ""original_width"": 223, ""original_height"": 226}, {""x"": 60.28116478231783, ""y"": 10.916969986388029, ""width"": 21.55706332763686, ""height"": 55.57106549162767, ""rotation"": 0, ""rectanglelabels"": [""mayo scissors""], ""original_width"": 223, ""original_height"": 226}]",yrodriguezmd@gmail.com,5,2021-09-03T01:22:49.869132Z,2021-09-03T01:22:49.869177Z,169.925
/data/upload/mix2.jpeg,4,"[{""x"": 5.141497620836457, ""y"": 1.9561017494901716, ""width"": 13.63636363636364, ""height"": 71.42857142857143, ""rotation"": 0, ""rectanglelabels"": [""fine forceps""], ""original_width"": 300, ""original_height"": 168}, {""x"": 15.06976051064569, ""y"": 5.7350783454323375, ""width"": 26.049141295118005, ""height"": 68.41432596926126, ""rotation"": 0, ""rectanglelabels"": [""fine forceps""], ""original_width"": 300, ""original_height"": 168}, {""x"": 25.354287358248836, ""y"": 29.198086024805498, ""width"": 35.18848505367992, ""height"": 50.26505948574111, ""rotation"": 0, ""rectanglelabels"": [""metz scissors""], ""original_width"": 300, ""original_height"": 168}, {""x"": 32.80828664861984, ""y"": 31.69196558491226, ""width"": 51.7434435882629, ""height"": 54.331538560901926, ""rotation"": 0, ""rectanglelabels"": [""metz scissors""], ""original_width"": 300, ""original_height"": 168}, {""x"": 37.56574004507888, ""y"": 57.49645705249835, ""width"": 56.50384039838308, ""height"": 38.437986665566726, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 300, ""original_height"": 168}]",yrodriguezmd@gmail.com,4,2021-09-03T01:19:19.874399Z,2021-09-03T01:19:19.874437Z,200.793
/data/upload/mix.jpeg,3,"[{""x"": 74.42622950819671, ""y"": 10.303030303030303, ""width"": 24.922695472592213, ""height"": 41.224175655480586, ""rotation"": 0, ""rectanglelabels"": [""self retractor""], ""original_width"": 305, ""original_height"": 165}, {""x"": 61.31613809554303, ""y"": 47.27272727272727, ""width"": 38.355993051997956, ""height"": 33.34538777669271, ""rotation"": 0, ""rectanglelabels"": [""scalpel""], ""original_width"": 305, ""original_height"": 165}, {""x"": 34.15526351442895, ""y"": 1.0017530678687703, ""width"": 42.54166102154179, ""height"": 35.56223390934134, ""rotation"": 0, ""rectanglelabels"": [""mayo scissors""], ""original_width"": 305, ""original_height"": 165}, {""x"": 17.357681340567886, ""y"": 0.8708438925835051, ""width"": 34.681337762534696, ""height"": 30.684377745282752, ""rotation"": 0, ""rectanglelabels"": [""fine forceps""], ""original_width"": 305, ""original_height"": 165}, {""x"": 24.13183118476244, ""y"": 23.546889047410108, ""width"": 37.93523912748948, ""height"": 42.07362885048836, ""rotation"": 0, ""rectanglelabels"": [""heavy needle holder""], ""original_width"": 305, ""original_height"": 165}, {""x"": 37.95109686691932, ""y"": 66.12139443183285, ""width"": 25.741769407939316, ""height"": 17.029802153769108, ""rotation"": 0, ""rectanglelabels"": [""zen retractor""], ""original_width"": 305, ""original_height"": 165}, {""x"": 10.854497490141116, ""y"": 41.077567735113576, ""width"": 32.24264381862465, ""height"": 41.06618383012557, ""rotation"": 0, ""rectanglelabels"": [""towel clip""], ""original_width"": 305, ""original_height"": 165}, {""x"": 2.9941742311340107, ""y"": 2.0035061357375405, ""width"": 20.05148353881588, ""height"": 31.6975166288319, ""rotation"": 0, ""rectanglelabels"": [""zen retractor""], ""original_width"": 305, ""original_height"": 165}, {""x"": 0.3306632745461386, ""y"": 58.24397292735431, ""width"": 12.962528159505014, ""height"": 20.0350613573754, ""rotation"": 0, ""rectanglelabels"": [""fine forceps""], ""original_width"": 305, ""original_height"": 165}, {""x"": 13.117548520447778, ""y"": 72.89944966634114, ""width"": 32.12835311889647, ""height"": 24.67630790941641, ""rotation"": 0, ""rectanglelabels"": [""metz scissors""], ""original_width"": 305, ""original_height"": 165}]",yrodriguezmd@gmail.com,3,2021-09-03T01:15:46.465983Z,2021-09-03T01:15:46.466047Z,2.721
/data/upload/kelly.jpeg,2,"[{""x"": 0.46511627906976744, ""y"": 3.389830508474576, ""width"": 96.75080745366465, ""height"": 86.44067796610169, ""rotation"": 0, ""rectanglelabels"": [""mosquito clamp""], ""original_width"": 215, ""original_height"": 118}]",yrodriguezmd@gmail.com,2,2021-09-03T01:04:21.937010Z,2021-09-03T01:04:21.937049Z,20.029
/data/upload/alligator.jpeg,1,"[{""x"": 2.93040293040293, ""y"": 7.608695652173914, ""width"": 44.328044853422156, ""height"": 88.60222624947448, ""rotation"": 0, ""rectanglelabels"": [""tissue clamp""], ""original_width"": 273, ""original_height"": 184}, {""x"": 62.64322311007313, ""y"": 4.891304347826087, ""width"": 32.228571761721746, ""height"": 91.31961755382231, ""rotation"": 0, ""rectanglelabels"": [""tissue clamp""], ""original_width"": 273, ""original_height"": 184}]",yrodriguezmd@gmail.com,1,2021-09-03T01:03:31.813292Z,2021-09-03T01:03:31.813333Z,141.279
